id,pali,target_word,class_source,class_sutta,class_example,english_translation
468,agacchi,,,,,
648,aggi,,,,,
840,aṅgulimāla,,,,,
1849,aṭṭhāsi 1,,,,,
2736,atthi 1.1,,,,,
2788,atha kho 1,,,,,
5083,anuyuñjati 2,,,,,
6692,apucchi,,,,,
7510,abhāsi 1,,,,,
7791,abhinandi 1,,,,,
8148,abhisaṅkharoti 2,,,,,
8575,amu,,,,,
8690,amha 1.1,,,,,
8702,amhi,,,,,
8972,ariya 1,,,,,
9100,aroga,,,,,
9719,asi 2.1,,,,,
10921,ahu 1.1,,,,,
10964,ahosiṃ,,,,,
11836,āpajjati 2,,,,,
12086,āmantesi,,,,,
12243,āyasmā,,,,,
12698,āloka,,,,,
12877,āsi 1.1,,,,,
12891,āsiṃ,,,,,
13818,ime,,,,,
13855,isi,,,,,
14954,udapādi 1,,,,,
15660,upadduta,,,,,
15855,upapajjati 1,,,,,
16090,upasaṅkami,,,,,
17613,ekamantaṃ 1,,,,,
18134,evaṃ 1,,,,,
20078,kappati,,,,,
20404,kammunā,,,,,
20791,kassaka,,,,,
21294,kāraka 2,,,,,
23381,khattiya 2,,,,,
23437,khandha 1,,,,,
24615,gaha 2,,,,,
24621,gahakāraka,,,,,
27224,cora,,,,,
29318,taṇḍula 1,,,,,
29605,tatra 1,,,,,
30807,tila,,,,,
30985,tuṇhī ahosi,,,,,
30989,tuṇhī 3,,,,,
32428,diṭṭha 1.1,,,,,
34211,dosa 1.1,,,,,
34513,dhaja 1,,,,,
37679,nibbindati 1,,,,,
38218,nisīdi,,,,,
39192,paggaṇhāti 2,,,,,
39413,paccassosi,,,,,
40441,paṭijānāti 4,,,,,
40522,paṭipajjati 2,,,,,
42332,panūdati,,,,,
43744,paribbājaka,,,,,
47111,pure 2,,,,,
47378,pessaka 1,,,,,
47973,bala 1,,,,,
48801,byākāsi 1,,,,,
48810,byādhi,,,,,
49137,bhagavato 2,,,,,
49227,bhaṇati 1,,,,,
49605,bhavaṃ 1,,,,,
49767,bhāsita 1,,,,,
49796,bhāvanā 1,,,,,
50496,magga 2,,,,,
51427,mayaṃ 1,,,,,
52492,māsa 2.1,,,,,
52807,mugga,,,,,
53022,muni 1,,,,,
54351,rakkhati 1,,,,,
54789,rāga 1.1,,,,,
55021,rāhula,,,,,
55973,loka 2,,,,,
56270,saka 1,,,,,
56554,sagga 1.1,,,,,
57122,sacca 2,,,,,
57616,sati 1.2,,,,,
58259,santi 2.1,,,,,
59623,samādhi 1,,,,,
59985,samudaya 1,,,,,
60931,sammodi,,,,,
61887,saṃvara 2,,,,,
61899,saṃvaraṃ āpajjati,,,,,
62578,sāli,,,,,
62947,sippika 1.1,,,,,
63563,sukhita,,,,,
63624,sugati,,,,,
65197,sota 1.1,,,,,
66729,vāṇija,,,,,
69305,visuddhi 1.1,,,,,
69478,vissuta,,,,,
69963,vīhi,,,,,
71483,hoti 1,,,,,
71494,hotha,,,,,
71496,hontu,,,,,
71499,homa 2.2,,,,,
77100,chindati 5,,,,,
