id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
2597,attha 1.1,,,,,
5326,anussarati 1.1,anussarati,AN 3.71 (simpl),unknown,sāvako dhammaṃ <b>anussarati</b>,The disciple recollects the Dhamma.
8292,abhivaḍḍhati,abhivaḍḍhanti,AN 3.79,unknown,kusalā dhammā <b>abhivaḍḍhanti</b>,Wholesome states of mind increase more and more.
11370,ājānāti 1,ājānāma,MN 43,unknown,āyasmato sāriputtassa bhāsitaṃ evaṃ <b>ājānāma</b>,We understand the statement of venerable Sāriputta thus.
11718,ānanda 2,ānanda,MN 104 (simpl),unknown,"passatha, <b>ānanda</b>, vacanassa pathaṃ","You see, Ānanda, a course of speech"
11874,āpatti 2,āpattiṃ,VIN,unknown,passasi taṃ <b>āpattiṃ</b>,You see that offence.
12076,āmantayati 1,āmantayati,DN 19.7 (simpl),unknown,rājā jotipālaṃ māṇavaṃ <b>āmantayati</b>,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
15144,uddesa 1,,,,,
16108,upasama 1,upasamāya,SN 56.11 (simpl),unknown,paṭipadā <b>upasamāya</b> sambodhāya nibbānāya saṃvattati,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
16535,uppajjati 1,uppajjanti,SN 41.3,unknown,"gahapati, pucchasi — “... diṭṭhiyo loke <b>uppajjanti</b>…","You ask, householder: “…views arise in the world…”"
20568,karohi,karohi,MN 36,unknown,"taṃ suṇāhi, sādhukaṃ manasi <b>karohi</b>, bhāsissāmi","Listen to that, pay attention, I will speak."
23186,kosalā,kosalehi,SN 55.6 (simpl),unknown,suṇāma: <b>kosalehi</b> mallesu pakkamati,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
23612,khādati,khāda,VIN PAT PC 36,unknown,handa bhikkhu <b>khāda</b> vā bhuñja vā,"Come on, bhikkhu, eat or consume!"
24654,gahapati,gahapati,SN 41.3,unknown,"<b>gahapati</b>, pucchasi — “... diṭṭhiyo loke uppajjanti…","You ask, householder: “…views arise in the world…”"
26837,cīvaracetāpanna,cīvaracetāpannaṃ,VIN PAT NP 10,unknown,paṭiggaṇhātu āyasmā <b>cīvaracetāpannaṃ</b>,Let the venerable receive the robe-fund.
27111,ceteti 2,ceteti,SN 35.248 (simpl),unknown,puthujjano punabbhavāya <b>ceteti</b>,A common person intends for rebirth.
28484,jināti 2,jināti,DHP 354,unknown,sabbarasaṃ dhammaraso <b>jināti</b>,The flavour of the Dhamma surpasses all other flavours.
28726,jotipāla 1,jotipālaṃ,DN 19.7 (simpl),unknown,rājā <b>jotipālaṃ</b> māṇavaṃ āmantayati,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
29089,ṭhita 3,ṭhito,MN 64,unknown,so tattha <b>ṭhito</b> āsavānaṃ khayaṃ pāpuṇāti.,"Remaining there, he reaches the destruction of the defilements."
29587,tattha 2,tattha,MN 64,unknown,so <b>tattha</b> ṭhito āsavānaṃ khayaṃ pāpuṇāti.,"Remaining there, he reaches the destruction of the defilements."
30135,tasati 1.1,tasanti,DHP 130,unknown,sabbe <b>tasanti</b> daṇḍassa.,All are fearful of a stick.
30488,tiṭṭhati 3,tiṭṭhanti,SNP 22,unknown,devā manussā ca sitā <b>tiṭṭhanti</b>,Deities and human beings remain attached.
31761,daṇḍa 1,daṇḍassa,DHP 130,unknown,sabbe tasanti <b>daṇḍassa</b>.,All are fearful of a stick.
32479,diṭṭhi 1,diṭṭhiyo,SN 41.3,unknown,"gahapati, pucchasi — “... <b>diṭṭhiyo</b> loke uppajjanti…","You ask, householder: “…views arise in the world…”"
34841,dhammarasa,dhammaraso,DHP 354,unknown,sabbarasaṃ <b>dhammaraso</b> jināti,The flavour of the Dhamma surpasses all other flavours.
35128,dhāreti 3,dhārehi,MN 133 (simpl),unknown,"<b>dhārehi</b>, bhikkhu, uddesaṃ ca vibhaṅgaṃ ca","Remember, monk, the summary and the analysis."
37570,nibbāna 2,nibbānāya,SN 56.11 (simpl),unknown,paṭipadā upasamāya sambodhāya <b>nibbānāya</b> saṃvattati,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
39074,pakkamati 1,pakkamati,SN 55.6 (simpl),unknown,suṇāma: kosalehi mallesu <b>pakkamati</b>,We hear: (the Blessed One) sets out from the Kosalans (on tour) in the Mallans.
39322,paccattaṃ,paccattaṃ,MN 48,unknown,labhāmi <b>paccattaṃ</b> samathaṃ,I obtain serenity individually.
39683,pajahati,pajahatha,SN 22.25 (simpl),unknown,saṅkhāresu chandaṃ ca rāgaṃ <b>pajahatha</b>.,Abandon interest and desire for volitional formations.
40314,paṭiggaṇhāti 1,paṭiggaṇhātu,VIN PAT NP 10,unknown,paṭiggaṇhātu āyasmā cīvaracetāpannaṃ,Let the venerable receive the robe-fund.
40689,paṭibhāti,paṭibhātu,SN 22.1 (simpl),unknown,sādhu āyasmantaṃ sāriputtaṃ <b>paṭibhātu</b> etassa bhāsitassa attho,It would be good if the meaning of this statement may become evident to Venerable Sāriputta. (so that he could explain it to us); Fig: It would be good if Ven. Sāriputta would explain the meaning of this statement.
40774,paṭilabhati 1,paṭilabhati,MN 27,unknown,tathāgate saddhaṃ <b>paṭilabhati</b>,He obtains faith in the Tathāgata.
40898,paṭisaṃvedeti,paṭisaṃvedeti,DN 22.18,unknown,sukhaṃ ca kāyena <b>paṭisaṃvedeti</b>,He experiences pleasure by means of the body.
40946,paṭisevati 2,paṭisevāmi,MN 2.4,unknown,parikkhāraṃ <b>paṭisevāmi</b>,I make use of the requisite.
41989,patha 2,,,,,
43235,parikkhāra 1,parikkhāraṃ,MN 2.4,unknown,<b>parikkhāraṃ</b> paṭisevāmi,I make use of the requisite.
43711,paripūreti 1,paripūreti,MN 39 (simpl),unknown,so kāyaṃ vivekajena pītisukhena <b>paripūreti</b>,He completely fills up the body with joy and happiness produced by seclusion.
43974,pariyāya 5,pariyāyaṃ,SNP 34,unknown,passa lokassa <b>pariyāyaṃ</b>.,See the nature of the world.
44736,passa 2.1,passa,SNP 34,unknown,<b>passa</b> lokassa pariyāyaṃ.,See the nature of the world.
44738,passati 1,passatha,MN 104 (simpl),unknown,"<b>passatha</b>, ānanda, vacanassa pathaṃ","You see, Ānanda, a course of speech"
