id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
328,akkosa,akkosaṃ,MN 82,unknown,"Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse.","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse."
962,accayena 2,accayena,DN 16.36 (simpl),unknown,vo mayā dhammo ca vinayo ca desito vo mama <b>accayena</b> satthā bhavissati,"After my passing away, the Doctrine and Discipline taught by me to you, will become a teacher for you."
1218,ajesi,ajesi,VIN 5.1.1,unknown,mā kho tumhe eso <b>ajesi</b>.,Do not indeed let this [person] defeat you.
1561,aññadatthu 2,añña'd'atthu,MN 82,unknown,"Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse.","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse."
1853,aṭṭhi 1.1,aṭṭhi,MN 82,unknown,"aṭṭhi tacena onaddhaṃ, saha vatthebhi sobhati.",A bone covered with skin; it looks beautiful with clothes.
2607,attha 4.2,attha,MN 19 (simpl),unknown,"jhāyatha, bhikkhave, mā pamādaṃ <b>attha</b>, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you."
2910,adukkhamasukha 1,adukkhamasukhaṃ,MN 74,unknown,"n'eva tasmiṃ samaye dukkhaṃ vedanaṃ vedeti, na <b>adukkhamasukhaṃ</b> vedanaṃ vedeti","At that time, he feels neither an unpleasant sensation nor a neutral sensation."
3054,adhamma 2,adhammo,TH 195,unknown,<b>adhammo</b> nirayaṃ neti dhammo pāpeti suggatiṃ,"False teaching leads to no good fortune, the Teaching leads to a good destination."
3946,anāthapiṇḍika,anāthapiṇḍiko,AN 10.93,unknown,"anāthapiṇḍiko gahapati yāvatako ahosi paribbājakehi saddhiṃ kathāsallāpo, taṃ sabbaṃ bhagavato ārocesi.","Whatever conversation the householder Anāthapindika had with the wandering ascetics, all that he told to the Blessed One."
4161,aniccānupassī,aniccaṃ anupassī,MN 118 (simpl),unknown,"One trains thus: “I will breathe out, observing impermanence.”","One trains thus: “I will breathe out, observing impermanence.”"
4774,anupassī 1,anupassī,MN 118 (simpl),unknown,aniccaṃ <b>anupassī</b> passasissāmi iti sikkhati,"One trains thus: “I will breathe out, observing impermanence.”"
5268,anusāsanī,anusāsanī,MN 19 (simpl),unknown,"jhāyatha, bhikkhave, mā pamādaṃ attha, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ <b>anusāsanī</b>","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you."
6389,aparimita,aparimitaṃ,UD-a 5.3,unknown,ahaṃ te <b>aparimitaṃ</b> dhanaṃ dassāmi,I will give unlimited wealth to you.
8087,abhiramati,abhiramanti,UD 45,unknown,asurā mahāsamudde <b>abhiramanti</b>.,Malevolent beings find high pleasure in the great ocean.
8212,abhisamaya,abhisamayaṃ,SN 56.35 (simpl),unknown,"ahaṃ saha eva sukhena, saha eva somanassena catunnaṃ ariyasaccānaṃ <b>abhisamayaṃ</b> vadāmi.",I say clear comprehension of the four Noble Truths [is] accompanied only by happiness and only by mental ease.
