id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
468,agacchi,agacchiṃ,MN 39 (simpl),unknown,ahaṃ sakamhā gāmā amuṃ gāmaṃ <b>agacchiṃ</b>,I went from my own village to such and such a village.
648,aggi,agginā,SN 35.28,unknown,rāgassa <b>agginā</b> dosassa agginā mohassa agginā saddo ādippati,"The sound is burning with the fire of lust, with the fire of hatred, with the fire of delusion."
840,aṅgulimāla,aṅgulimālo,MN 86,unknown,"coro ahaṃ pure āsiṃ, <b>aṅgulimālo</b> vissuto … buddhaṃ saraṇaṃ āgamiṃ.","I was formerly a thief, the famous Angulimāla… I came to the Buddha (for) refuge."
1849,aṭṭhāsi 1,aṭṭhāsiṃ,MN 39 (simpl),unknown,tatra evaṃ <b>aṭṭhāsiṃ</b> evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī ahosiṃ,"There I stood, I sat, I spoke and I remained silent."
2736,atthi 1.1,atthi,MN 10 (simpl),unknown,‘<b>atthi</b> kāyo'ti sati hoti.,There is mindfulness: “there is a body.”
2788,atha kho 1,atha kho,UD 45,unknown,<b>atha kho</b> bhagavā bhikkhū āmantesi,And then the Blessed One addressed the monks.
5083,anuyuñjati 2,anuyuñjanti,DHP 026 (simpl),unknown,bālā pamādaṃ <b>anuyuñjanti</b>,Fools indulge in negligence.
6692,apucchi,,,,,
7510,abhāsi 1,abhāsiṃ,MN 39 (simpl),unknown,tatra evaṃ aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ <b>abhāsiṃ</b> evaṃ tuṇhī ahosiṃ,"There I stood, I sat, I spoke and I remained silent."
7791,abhinandi 1,abhinandi,SN 35.121,unknown,āyasmā rāhulo bhagavato bhāsitaṃ <b>abhinandi</b>,Venerable Rahula delighted in the speech of the Blessed One.
8148,abhisaṅkharoti 2,abhisaṅkharoti,AN 3.70,unknown,<b>abhisaṅkharoti</b> kāyena kusalaṃ.,He does good deeds by means of the body.
8575,amu,amuṃ,MN 39 (simpl),unknown,ahaṃ sakamhā gāmā <b>amuṃ</b> gāmaṃ agacchiṃ,I went from my own village to such and such a village.
8690,amha 1.1,amhā,MN 39,unknown,samaṇā <b>amhā</b>’ti paṭijānātha,"You all claim, “We are ascetics.”"
8702,amhi,amhi,AN 5.57,unknown,byādhi dhammo <b>amhi</b>,I am of the nature to get sick. (lit. I am of the sickness nature)
8972,ariya 1,ariyassa,AN 5.28 (simpl),unknown,ariyassa samādhissa bhāvanaṃ desesiṃ,I taught the cultivation of noble composure.
9100,aroga,arogā,AN 3.156,unknown,<b>arogā</b> sukhitā hotha,May you all be happy (and) free from disease.
9719,asi 2.1,,,,,
10921,ahu 1.1,,,,,
10964,ahosiṃ,ahosiṃ,MN 39 (simpl),unknown,tatra evaṃ aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī <b>ahosiṃ</b>,"There I stood, I sat, I spoke and I remained silent."
11836,āpajjati 2,,,,,
12086,āmantesi,āmantesi,UD 45,unknown,atha kho bhagavā bhikkhū <b>āmantesi</b>,And then the Blessed One addressed the monks.
12243,āyasmā,āyasmā,SN 21.9 (simpl),unknown,"atha kho <b>āyasmā</b> tisso upasaṅkami,  ekamantaṃ nisīdi.",And then Venerable Tissa approached and sat down to one side.
12698,āloka,āloko,SN 56.11,unknown,paññā udapādi vijjā udapādi <b>āloko</b> udapādi,"Wisdom arose, knowledge arose, light arose."
12877,āsi 1.1,āsi,MN 86,aṅgulimālasuttaṃ,"coro ahaṃ pure <b>āsiṃ</b>, aṅgulimālo vissuto … buddhaṃ saraṇaṃ āgamiṃ.","I was formerly a thief, the famous Angulimāla… I came to the Buddha (for) refuge."
12891,āsiṃ,āsiṃ,MN 86,aṅgulimālasuttaṃ,"coro ahaṃ pure <b>āsiṃ</b>, aṅgulimālo vissuto … buddhaṃ saraṇaṃ āgamiṃ.","I was formerly a thief, the famous Angulimāla… I came to the Buddha (for) refuge."
13818,ime,ime,DN 22.5,unknown,<b>ime</b> sālī <b>ime</b> vīhī <b>ime</b> muggā <b>ime</b> māsā <b>ime</b> tilā <b>ime</b> taṇḍulā’ti,"“These are fine rices, these are paddy, these are mung beans, these are speckled beans, these are sesame, these are dehusked rice.”"
13855,isi,isīnaṃ,AN 4.48 (simpl),unknown,paggaṇhahi <b>isīnaṃ</b> dhajaṃ,Raise up a banner of the sages!
14954,udapādi 1,udapādi,SN 56.11,unknown,paññā <b>udapādi</b> vijjā udapādi āloko udapādi,"Wisdom arose, knowledge arose, light arose."
15660,upadduta,upaddutā,DN 16.39,mahāparinibbānasuttaṃ,upaddutā homa — ‘idaṃ kappati…,We are afflicted – “this is suitable…”
15855,upapajjati 1,upapajjāmi,AN 3.66 (simpl),unknown,sugatiṃ saggaṃ lokaṃ <b>upapajjāmi</b>,"I go towards a good destination, a heavenly plane of existence."
16090,upasaṅkami,upasaṅkami,SN 21.9 (simpl),unknown,"atha kho āyasmā tisso <b>upasaṅkami</b>,  ekamantaṃ nisīdi.",And then Venerable Tissa approached and sat down to one side.
17613,ekamantaṃ 1,ekamantaṃ,SN 21.9 (simpl),unknown,"atha kho āyasmā tisso upasaṅkami, <b>ekamantaṃ</b> nisīdi.",And then Venerable Tissa approached and sat down to one side.
18134,evaṃ 1,evaṃ,MN 39 (simpl),unknown,tatra <b>evaṃ</b> aṭṭhāsiṃ evaṃ nisīdiṃ evaṃ abhāsiṃ evaṃ tuṇhī ahosiṃ,"There I stood, I sat, I spoke and I remained silent."
20078,kappati,kappati,DN 16.39,unknown,upaddutā homa — ‘idaṃ <b>kappati</b>…,We are afflicted – “this is suitable…”
20404,kammunā,kammunā,MN 98,unknown,"kassako <b>kammunā</b> hoti, sippiko hoti kammunā, vāṇijo kammunā hoti, pessako hoti kammunā.","By one’s actions, one is a farmer, a craftsman, a trader, a messenger"
20791,kassaka,kassako,MN 98,unknown,"kassako kammunā hoti, sippiko hoti kammunā, vāṇijo kammunā hoti, pessako hoti kammunā.","By one’s actions, one is a farmer, a craftsman, a trader, a messenger"
21294,kāraka 2,kāraka,DHP 153 (simpl),unknown,"gahassa <b>kāraka</b>, diṭṭho asi","Builder of a house, you are seen."
