id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
1313,ajjhabhāsi,ajjhabhāsi,SNP 16,unknown,devatā bhagavantaṃ gāthāya <b>ajjhabhāsi</b>,The deity addressed the Blessed One with a verse.
1970,aṇu 2,aṇuṃ,MN 104,unknown,"If you could practice undertaking these six cordial things, do you see any way of saying things (i.e. mode of expression), gross or subtle, which you could not tolerate?",
2397,atīta 2,atītaṃ,MN 131,unknown,"atītaṃ n’ānvāgameyya, nappaṭikaṅkhe anāgataṃ.","He should not return to the past, he should not anticipate the future."
2524,attamana,attamanā,DN 10,unknown,te tāvataken’eva <b>attamanā</b> assu,With just this much they would be pleased.
3562,anattamana,anattamanā,DN 1.1,unknown,"ce tumhe assatha kupitā vā <b>anattamanā</b> vā, tumhaṃ tena antarāyo.","If you were to be angry or irritated, on that account [it would be] an obstacle for you all."
3890,anāgata 1,anāgatam'addhānaṃ,SN 22.3,unknown,"idha, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ <b>anāgatam'addhānaṃ</b>, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future."
3891,anāgata 2,anāgatam'addhānaṃ,SN 22.3,unknown,"idha, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ <b>anāgatam'addhānaṃ</b>, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future."
3899,anāgatamaddhānaṃ,anāgatamaddhānaṃ,SN 22.3,unknown,evaṃrūpo siyaṃ <b>anāgatamaddhānaṃ</b>,May I be of such form in the future.
5458,anuviloketi,anuvilokeyyāsi,AN 7.61,unknown,tvaṃ moggallāna disā <b>anuvilokeyyāsi</b> nakkhattāni ullokeyyāsi,"Moggallāna, you should look all around in all directions, and look up at the constellations."
5733,antarāya,antarāyo,DN 1.1,unknown,"ce tumhe assatha kupitā vā anattamanā vā, tumhaṃ tena <b>antarāyo</b>.","If you were to be angry or irritated, on that account [it would be] an obstacle for you all."
7015,apparajakkha,apparajakkhajātikā,MN 26,unknown,"desetu, bhante, bhagavā dhammaṃ, desetu sugato dhammaṃ. santi sattā <b>apparajakkhajātikā</b>, assavanatā dhammassa parihāyanti.","Venerable Sir, let the Blessed One teach the doctrine, let the well-gone One teach the doctrine; there are living beings who have little dirt in their eyes, [who] are wasting away by the fact of not hearing the teaching."
7016,apparajakkhajātika,apparajakkhajātikā,MN 26,unknown,"desetu, bhante, bhagavā dhammaṃ, desetu sugato dhammaṃ. santi sattā <b>apparajakkhajātikā</b>, assavanatā dhammassa parihāyanti.","Venerable Sir, let the Blessed One teach the doctrine, let the well-gone One teach the doctrine; there are living beings who have little dirt in their eyes, [who] are wasting away by the fact of not hearing the teaching."
7418,abyāpajjhaparamatāya,abyāpajjhaparamatāya,MN 2.4,unknown,yāva’d’eva uppannānaṃ veyyābādhikānaṃ vedanānaṃ paṭighātāya <b>abyāpajjhaparamatāya</b>,"Only as much as for the freedom from obsessive pain at the most, for the warding off of oppressive feelings that have arisen."
